id,legal_name,purpose,text_length,true_sector,predicted_sector,top3,score_top1,margin_top1_top2,auto_flags,manual_category,manual_note
191,Goldman Sachs Realty Management GmbH,"Erbringen von Beratungsdienstleistungen über alle wirtschaftlichen und technischen Aspekte der Immobilienanlage, Immobilienentwicklung und Immobilienfinanzierung sowie Entwicklung, Betreuung und Verwaltung von Immobilien sowie deren Vermarktung; alle mit dem Betrieb im Zusammenhang stehenden sonstigen Geschäfte.",313,M,N,N|M|L,0.6438,0.0262,recoverable_in_top3,ambiguous_sector_definition,
193,Kluge Immobilien-Betriebsgesellschaft mbH,"Die Vermittlung von Immobilien, die An- und Vermietung von Wohnungen sowie die Erbringung von Dienstleistungen aller Art im Fremdenverkehr.",139,L,I,I|L|N,0.6594,0.0745,recoverable_in_top3,,
195,Wibau in Sachsen GmbH Wohn- und Industrie-Bauträger,"ist der Handel mit Häusern und Grundstücken sowie die Herstellung, Sanierung und Vertrieb von Häusern und Wohnungen sowie Industriebau. Die Gesellschaft ist zu allen Geschäften und Maßnahmen berechtigt, die zur Erreichung des Geschäftszwecks notwendig oder nützlich erscheinen. Die Gesellschaft ist berechtigt, gleiche oder ähnliche Unternehmen zu erwerben, sich an solchen zu beteiligen oder deren Vertretung zu übernehmen oder/und weitere Zweigniederlassungen zu gründen.",473,F,C,C|L|G,0.5444,0.0135,low_margin|crowded_top3|outside_top3,multi_sector_company,
196,MTR Gebäudereinigung GmbH,Gebäudereinigungen aller Art.,29,N,F,F|L|E,0.6275,0.0773,short_text|outside_top3,seed_leakage,'Gebäudereinigung' — Gebäude pulled into Construction
197,Maurer und Klinkner Bauunternehmung GmbH,Der Betrieb einer Bauunternehmung sowie sämtliche damit zusammenhängenden und den Gesellschaftszweck fördernden Geschäfte.,122,F,N,N|F|M,0.5806,0.0218,recoverable_in_top3,,
198,Schreinerei Limpert GmbH,Der Betrieb einer Bau- und Möbelschreinerei.,44,C,F,F|C|L,0.5506,0.0025,short_text|low_margin|recoverable_in_top3,,
199,Bauelemente Hagemeier GmbH,Verwaltung und Übernahme der persönlichen Haftung bei der Bauelemente Hagemeier GmbH & Co KG,92,M,L,L|M|C,0.5108,0.1047,recoverable_in_top3,boilerplate_only,shell company; 'Bauelemente' in the partner KG's name is the only content signal
201,GOOD TO KNOW Institute UG (haftungsbeschränkt),"Veranstaltung von Fortbildungen, Seminaren und Networking- Veranstaltungen sowie Consulting von Unternehmen (Unternehmensberatung).",131,P,M,M|P|N,0.5612,0.0864,recoverable_in_top3,multi_sector_company,
203,ACPP GmbH,"Konzeption und Herstellung von audiovisuellen Präsentationen sowie Beratung, Schulung und Unterstützung von Organisationen und Unternehmen.",139,J,M,M|J|R,0.4975,0.0705,recoverable_in_top3,multi_sector_company,
208,up-to-date Call-Center GmbH,"Unterhaltung eines Call-Centers sowie Beratung von Firmen und Institutionen in den Bereichen: Telematik, Marketing, Constrolling, Durchführung absatzwirksamer Kampagnen, sowie bei der Einführung und Durchführung von IT Technologien.",232,N,J,J|M|N,0.5940,0.0448,recoverable_in_top3,,
212,A.F.I. Verwaltung und Portfolio GmbH,"Routing, Verwaltung und Portfolio Management für die IT Projekte der AFI Gruppe im Bereich Unternehmensmanagement und Kundenberatung im IT Bereich.",147,J,M,M|J|N,0.4966,0.0360,recoverable_in_top3,ambiguous_sector_definition,
213,U.M. Ingenieurgesellschaft für Hochbau mbH,"Betrieb eines Ingenieurbüros, insbesondere die Planung, Arbeitsvorbereitung, Projektüberwachung und Kostenüberprüfung im Hochbau.",129,M,F,F|N|M,0.5058,0.0022,low_margin|crowded_top3|recoverable_in_top3,taxonomy_granularity,
215,Kolbus Ausbildungs-GmbH,Aus- und Weiterbildung in technischen und kaufmännischen Berufen sowie die Erbringung von maschinenbaunahen Dienstleistungen einschließlich der gewerbsmäßigen Überlassung von Arbeitnehmern an Dritte. Die Gesellschaft kann sich auch an anderen Unternehmen beteiligen und die Geschäftsführung in anderen Unternehmen übernehmen,324,P,M,M|N|C,0.5707,0.1016,boilerplate_shape|outside_top3,multi_sector_company,
217,B & S Vermögensverwaltung GmbH,"Vermittlung von Geschäften über die Anschaffung und die Veräußerung von Finanzinstrumenten (Anlagevermittlung); Abgabe von persönlichen Empfehlungen an Kunden oder deren Vertreter, die sich auf Geschäfte mit bestimmten Finanzinstrumenten beziehen, sofern die Empfehlung auf eine Prüfung der persönlichen Umstände des Anlegers gestützt oder als für ihn geeignet dargestellt wird und nicht ausschließlich über lnformationsverbreitungskanäle oder für die Öffentlichkeit bekannt gegeben wird (Anlageberatung); Anschaffung und die Veräußerung von Finanzinstrumenten im fremden Namen für fremde Rechnung (Abschlussvermittlung); Platzieren von Finanzinstrumenten ohne feste Übernahmeverpflichtung (Platzierungsgeschäft); Abschluss von Verträgen über den Erwerb von Anteilscheinen einer Kapitalanlagegesellschaft oder lnvestmentaktiengesellschaft, von ausländischen lnvestmentanteilen, die im Geltungsbereich des lnvestmentgesetzes öffentlich vertrieben werden dürfen, von sonstigen öffentlich angebotenen Vermögensanlagen, die für gemeinsame Rechnung der Anleger verwaltet werden, oder von öffentlich angebotenen Anteilen an einer und von verbrieften Forderungen gegen eine Kapitalgesellschaft oder Kommanditgesellschaft; Beratung von Privatkunden, Banken, Versicherungen, Pensionsfonds/-kassen und sonstigen institutionellen Anlegern hinsichtlich Auswahl geeigneter Anlagen für die Vermögensverwaltung bzw. den Deckungsstock sowie allgemein Asset Management, strategische und taktische Asset Allokation; Abschluss von Verträgen über Grundstücke, grundstücksgleiche Rechte, gewerbliche Räume, Wohnräume oder Darlehen vermitteln oder die Gelegenheit zum Abschluss solcher Verträge nachweisen; Verwaltung des eigenen Vermögens inkl. der Beteiligung an fremden Unternehmen; Durchführen von Vermögensanalysen; Family Office Dienstleistungen; Versicherungsvermittlung als Mehrfachagent gemäß § 34d GewO; Vermittlung sonstiger Vermögensanlagen, wie z.B. Genussrechte und Beteiligungen am Ergebnis von Unternehmen gemäß § 34f Abs. 1 Nr. 3 GewO",2029,K,M,M|K|J,0.5962,0.0582,boilerplate_shape|recoverable_in_top3,ambiguous_sector_definition,
220,fund2seed GmbH,"Die Erbringung von Beratungsdienstleistungen, schwerpunktmäßig für Non-Profit- Organisationen zur Förderung beziehungsweise Einhaltung ihrer Ziele und Verbindlichkeiten, und die Entwicklung, der Vertrieb und die Administration von vertriebs- und prozessorientierter Software.",275,J,M,M|N|J,0.5820,0.0151,low_margin|recoverable_in_top3,,
221,brainest new media GmbH,"Die Erbringung von IT-Dienstleistungen, die diesbezügliche Beratung, Projektmanagement und die Umsetzung des Vorgenannten sowie alle damit zusammenhängenden und den Gesellschaftszweck fördernden Geschäfte.",205,J,N,N|M|J,0.6244,0.0466,recoverable_in_top3,,
223,ME IT Solutions GmbH,"- Service, Wartung und Support für bereits installierte bzw. vorhandene IT- und Sicherheits-Lösungen, als auch noch zu installierende IT- und Sicherheits-Lösungen, - Beratung, Planung, Implementierung und Vertrieb von IT Lösungen, - Beratung, Planung, Implementierung und Vertrieb von Sicherheits-Lösungen, - Handel mit Hardware, Software und dazugehörigem sämtlichen Zubehör, - Transportdienstleistungen und Logistiklösungen, - für die Umsetzung von IT- und Sicherheits-Lösungen sämtliche Installationstätigkeiten inkl. Einbau, - Verschalung, Inbetriebnahme und anschließende Betreuung der Anlagen, - Entwicklung von Soft- und Hardware, - Schulungen und Lehrtätigkeiten im IT- und Sicherheitsbereich.",701,J,N,N|J|O,0.5594,0.0359,recoverable_in_top3,,
225,ExpoTor GmbH,"Gegenstand des Unternehmens ist nach der Erteilung dazu erforderlichen behördlichen Genehmigungen und Konzessionen das Betreiben von Internetplattformen für Messen, Events und andere Veranstaltungen, die Durchführung von Internet- und Messedienstleistungen aller Art sowie die beratende Tätigkeit auf den vorgenannten Gebieten. Darüber hinaus ist die Gesellschaft berechtigt, Geschäfte anderer Art zu tätigen, soweit ihr dies zur Erreichung des Gesellschaftszwecks dienlich erscheint und Zweigniederlassungen im In- und Ausland zu errichten.",541,J,M,M|J|N,0.5583,0.0028,low_margin|crowded_top3|recoverable_in_top3,multi_sector_company,
226,Berse Industrieanlagenbau GmbH,der Industrieanlagenbau. Die Gesellschaft darf andere Unternehmen übernehmen und sich an solchen Unternehmen beteiligen. Sie darf auch Zweigniederlassungen errichten und auswärtige Stellen unterhalten.,201,F,M,M|N|O,0.5188,0.0543,outside_top3,,
227,New Silk Road Network GmbH,"Die Verbindung von logistikbezogenen und anderen Unternehmen und ein Netzwerk zu formen, um deren Geschäfte zu fördern, einschließlich Eventmanagement.",151,N,H,H|M|N,0.4628,0.0089,low_margin|crowded_top3|recoverable_in_top3,seed_leakage,
228,Fastenau Forst - Service Gesellschaft mbH,"Gegenstand des Unternehmens ist die Ausführung von Forst- und Lohnarbeiten aller Art. Die Gesellschaft kann sich an anderen Unternehmen beteiligen, sie erwerben, vertreten und ihre Geschäfte führen. Die Gesellschaft darf auch Zweigniederlassungen errichten.",257,A,M,M|C|N,0.5593,0.0159,low_margin|outside_top3,ambiguous_sector_definition,
229,Matthias Schneider GmbH,"die Ausführung von Malerarbeiten. Die Gesellschaft ist zu allen Geschäften und Maßnahmen befugt, die zur Erreichung des vorerwähnten Gesellschaftszwecks notwendig oder nützlich erscheinen. Sie darf sich an gleichartigen oder ähnlichen Unternehmen beteiligen und Zweigniederlassungen im In- und Ausland errichten.",312,F,N,N|M|S,0.5449,0.0142,low_margin|outside_top3,,
230,BGfD Bayreuther Gesellschaft für Datenschutz mbH,"Gegenstand geändert, nun: Gegenstand des Unternehmens ist - die Erbringung von Dienstleistungen für Unternehmen oder Dritte auf dem Gebiet des Datenschutzes, insb. die Beratung, die Durchführung von Schulungen, die Stellung eines externen Datenschutzbeauftragten; - die Erstellung und Publikation von Veröffentlichungen zum Thema Datenschutz; - die Informationsvermittlung zum Thema Datenschutz, insb. über ein webbasiertes Informationsportal.",443,M,J,J|M|N,0.5364,0.0002,low_margin|recoverable_in_top3,seed_leakage,data protection advice pulled into IT by 'Daten'; margin 0.000
231,RHINO Verwaltungs GmbH,Die Verwaltung eigenen Vermögens sowie die Beteiligung und Verwaltung an und von anderen Gesellschaften.,104,M,K,K|M|O,0.6293,0.0591,boilerplate_shape|recoverable_in_top3,,
233,Kindergarten Bau- und Bewirtschaftungs- GmbH,"Gegenstand des Unternehmens ist auf dem Gebiet der Stadt Kierspe die Errichtung, der Umbau, die Betreuung, Bewirtschaftung und Verwaltung von Kindergärten.",155,Q,N,N|F|L,0.4998,0.0473,outside_top3,ambiguous_sector_definition,
235,Dr. Vilmar Praxisverwaltungen UG (haftungsbeschränkt),die zentrale Übernahme sämtlicher Verwaltungsprozesse einer Arztpraxis mit allen damit verbundenen Rechtsgeschäften. Sonstige gewerbliche Tätigkeiten im Zusammenhang mit der Verwaltung einer Arztpraxis sind der Gesellschaft untersagt.,234,N,Q,Q|M|O,0.4175,0.0246,outside_top3,,
238,PLS PlayLandSpielcenter GmbH,"Gegenstand des Unternehmens ist die Verwaltung eigenen Vermögens sowie die Aufstellung von Spielautomaten gem. § 33 c GewO. Die Gesellschaft ist berechtigt, alle Handlungen vorzunehmen, die mittelbar oder unmittelbar dem Gesellschaftszweck zu dienen geeignet sind. Die Gesellschaft ist berechtigt, Zweigniederlassungen im In- und Ausland errichten zu lassen.",358,R,K,K|O|M,0.5264,0.0227,boilerplate_shape|outside_top3,,
239,OLHO Finance Czech GmbH,"Erwerb und die Verwaltung von Beteiligungen an Unternehmen im In- und Ausland, insbesondere von Anteilen der OLHO-technik Czech s.r.o.",134,K,M,M|K|L,0.4422,0.0379,boilerplate_shape|recoverable_in_top3,ambiguous_sector_definition,"the K-vs-M shell convention, in the other direction"
241,ARS Software Solutions GmbH,"ist die Entwicklung, die Wartung und der Support sowie der Verkauf von Software, welche individuell von einem Auftraggeber in Auftrag gegeben werden kann.",154,J,M,M|J|N,0.5360,0.0393,recoverable_in_top3,,
243,Steuertutor Klever GmbH,"die steuerliche, sowie juristische Aus- und Fortbildung.",56,P,O,O|M|K,0.5591,0.0877,outside_top3,,
246,Planungsbüro Burkhardt & Burkhardt & Co. GmbH,"Bauplanung und Bauüberwachung, jeweils unter Ausschluß handwerklicher Tätigkeiten und solcher, die einer besonderen staatlichen Genehmigung bedürfen.",149,M,N,N|O|F,0.5082,0.0217,crowded_top3|outside_top3,taxonomy_granularity,
247,Feneberg & Kuhn GmbH,"Die Verwaltung, der Erwerb und die Verwertung von Grundbesitz aller Art im Inund Ausland, insbesondere die Wahrnehmung von Geschäftsführungsaufgaben in diesem Bereich. Tätigkeiten gemäß § 34 c GewO sind nicht Gegenstand des Unternehmens .",238,L,K,K|M|O,0.4979,0.0325,boilerplate_shape|outside_top3,,
249,HL-Reitschule im Sauerland UG (haftungsbeschränkt),Führung einer Pferdepension und Reitschule; Ausbildung von Pferden und Reitern.,79,R,P,P|S|N,0.4603,0.1305,outside_top3,ambiguous_sector_definition,
251,Missionsgesellschaft vom heiligen Geist Gesellschaft mit beschränkter Haftung,"a) Die Ausbildung von Ordensmitgliedern für innere und äußere Mission. Diese Ausbildung geschieht unentgeltlich für Jungen, deren Eltern oder Vormünder nicht imstande sind, den Pensionspreis auch nur teilweise zu entrichten. b) Die Errichtung und der Betrieb von Erziehungsanstalten und die Leitung von Fürsorgeanstalten. Desgleichen von Einrichtungen der Arbeitslosenhilfe und Suchtkrankenhilfe. c) Unterricht und Versorgung von Seelsorgern für innere und äußere Mission. d) Die Ausübung der von der kirchlichen Behörde übertragenen Seelsorge. e) Die Herausgabe von religiöser und volksbildender Literatur. f) Die Errichtung und der Betrieb von Einrichtungen der religiösen und allgemeinbildenden Erwachsenenbildung. g) Die Errichtung und der Betrieb von Jegendbildungsstätten, Lehrlingsheimen, Schullandheimen und Ferienheimen für die Jugend. h) Die finanzielle Unterstützung von kirchlichen, schulischen und sozialkaritativen Einrichtungen und Aufgaben in überssischen Entwicklungsländern. i) Die Durchführung von kulturellen Veranstaltunge und der Betrieb kultureller Einrichtungen im Kloster Knechtsteden. j) Der Erwerb und die Verwaltung von Grundstücken und Werten aller Art, jedoch nur für die sich aus den vorstehenden Bestimmungen zu a-i einschließlich ergebenden Zwecken:",1282,S,P,P|N|S,0.5094,0.0248,recoverable_in_top3,,
252,Word of God International gUG (haftungsbeschränkt),"Förderung der Religion nach §52 (1) Nr. 2 Abgabenordung. Weltweite Verbreitung des Wortes Gottes, wie es in Form der King James Bibel aus dem Jahre 1611 bewahrt wurde, an alle Menschen. Zur Erreichung dieses Zwecks soll die Gesellschaft die Erstellung von gemeinfreien Übersetzungen der King James Bibel von 1611 aus dem Englisch des 17. Jahrhunderts in andere Sprachen und auch in modernes Englisch, Schaffung und den Unterhalt des kostenfreien und ungehinderten Zugangs zu diesen Übersetzungen für alle Menschen, Verbreitung der Inhalte der King James Bibel von 1611 über Medien, durch Bildungs- und Erziehungsangebote, Schulungen, Seminare und Vorträge, Artikel und die Erstellung wissenschaftlicher Arbeiten, sowie die Vorbereitung und Unterstützung solcher Handlungen, Gründung und Unterhaltung von gemeinnützigen Einrichtungen und Institutionen, die den Zweck der Verbreitung des Wortes Gottes, wie es in der King James Bibel von 1611 bewahrt wurde, gemäß dieser Satzung verfolgen und unterstützen, Gründung von Tochtergesellschaften in anderen Ländern, sofern dies zur Verfolgung des Zwecks dieser Gesellschaft erforderlich und dienlich ist, vornehmen.",1159,S,P,P|U|J,0.1940,0.0059,low_margin|outside_top3,,
253,CBS Cologne Business School GmbH,der Betrieb der CBS Cologne Business School.,44,P,M,M|P|I,0.2555,0.0088,short_text|low_margin|crowded_top3|recoverable_in_top3,,
257,Das Sanitätshaus Niedermayerstraße GmbH,Betrieb eines Sanitätshauses in der Niedermayerstraße in Landshut und der Handel mit Medizinprodukten.,102,G,Q,Q|S|L,0.5253,0.0756,outside_top3,,
261,"""das WTS-Studentenreisebüro GmbH""","Veranstaltung und Vermittlung von Reisen aller Art, die Beschaffung und Vermittlung von Beförderungsausweisen, Reiseversicherungen und anderen Reiseunterlagen sowie der Handel mit Kultur- und Kunstgegenständen",209,N,R,R|I|H,0.5974,0.0620,outside_top3,,
262,PM Gastronomie GmbH,"Betrieb von Diskotheken, Tanzlokalen und allen sonstigen gastronomischen Betrieben, die Durchführung von Personalschulungen, Erstellung, Verkauf und Umsetzung von Gastronomie- und Freizeitkonzepten, An- und Verkauf sowie Verleih von Veranstaltungstechnik, Organisation und Durchführung von Veranstaltungen (Eventmanagement), An- und Verkauf, Vermietung, Verpachtung und Betreiben von gastronomischen Freizeiteinrichtungen und der entsprechenden Ausstattung",456,I,R,R|I|C,0.6295,0.0766,recoverable_in_top3,,
265,Gordini GmbH,Handel mit Sport- und Freizeitartikeln,38,G,R,R|G|H,0.5363,0.0006,short_text|low_margin|recoverable_in_top3,,
266,L & H Verlag GmbH,"die Durchführung von Kulturförderung, Kultursponsoring und Kulturberatung für die Wirtschaft sowie der Betrieb eines Verlages und die Herausgabe von Zeitschriften und Büchern, kunst- und kulturgeschichtlichen Inhalts. Die Gesellschaft ist auch zur Unternehmensberatung, Marketingberatung und Abhaltung von Seminaren sowie Führung von Workshops befugt.",351,J,M,M|R|S,0.5957,0.0920,outside_top3,,
267,Warnow Erlebnisgastronomie GmbH,"Betreiben von gastronomischen Einrichtungen, Diskotheken und Cocktailbars sowie die Durchführung von Tanzveranstatungen, Events und Werbung.",140,I,R,R|I|M,0.4841,0.0082,low_margin|recoverable_in_top3,,
269,SAMACO GmbH,"Beratung bezüglich und Vermittlung und/oder Erbringen von Dienstleistungen, die in einem Zusammenhang mit dem Tourismus und der Tourismusbranche stehen; weiter aktive Teilnahme an und Unterstützung von Entwicklungsprozessen in Regionen, die für den Tourismus erschlossen werden können. Hierbei kann die Gesellschaft weltweit tätig werden. Alle mit Erreichung dieses Zwecks zusammenhängenden Tätigkeiten sind vom Gegenstand des Unternehmens erfaßt, auch Kauf, Erschließung, Bebauung, Modernisierung, Verpachtung und Verkauf von Grundstücken und Immobilien.",555,L,I,I|N|R,0.5486,0.0001,low_margin|crowded_top3|outside_top3,,
270,Kaltenbrunner GmbH,Spezialanstriche-Rostschutz sowie Montagearbeiten.,50,F,S,S|N|Q,0.3903,0.0379,outside_top3,,
273,CIVES UG (haftungsbeschränkt),"Im- und Export sowie der Handel mit Waren aller Art, wie z.B. Hygieneartikel, Schnelltests, Eventszubehör, Fitnessequipment, der Betrieb von Covid Testzentren und die Beratung für Dienstleister der Testzentren und Kleinunternehmer zur Umsetzung von Hygienemaßnahmen.",266,G,N,N|G|C,0.5301,0.0500,recoverable_in_top3,,
274,M+K IT Services GmbH,Der Vertrieb und der Service von EDV- Produkten.,48,G,J,J|G|N,0.4370,0.0447,short_text|recoverable_in_top3,,
275,Pflege- und Betreuungszentrum Paderborn GmbH,Berieb des Pflege- und Betreuungszentrums Paderborn samt allen damit zusammenhängenden Nebengeschäften.,103,Q,S,S|N|Q,0.4219,0.0002,low_margin|crowded_top3|recoverable_in_top3,,
277,beyond-flora GmbH,"Beratungs-, Service,- Marketing und weitere Dienstleistungen in dem Bereich Blumen und Pflanzen sowie alle sonstigen damit im Zusammenhang stehenden Tätigkeiten.",161,M,N,N|S|M,0.6465,0.0128,low_margin|recoverable_in_top3,,
278,Independent Living - betrieblich unterstützte Kindertageseinrichtungen gemeinnützige GmbH,"Die Gesellschaft verfolgt ausschließlich und unmittelbar gemeinnützige Zwecke im Sinne des Abschnitts ""steuerbegünstigte Zwecke"" der Abgabenordnung (§§ 51 ff. AO) in der jeweils gültigen Fassung. Gegenstand der Gesellschaft ist die Gestaltung und Förderung von günstigen Entwicklungsbedingungen für Kinder, insbesondere durch die Wahrnehmung von Aufgaben auf dem Gebiet der Jugendhilfe, Erziehung und Bildung. Die Ziel der Gesellschaft sollen, abgestimmt auf die Bedürfnisse dieser Gruppen, erreicht werden durch - Schaffung, Betrieb und Unterhaltung von Kindertagesstätten und vergleichbaren Einrichtungen zur Tagsbetreuung von Kindern, - Entwicklung und Verbreitung der Gesellschaftsziele durch Publikationen, wissenschaftliche Veranstaltungen, in Lehrgängen und Kurssystemen sowie durch die Gestaltung wissenschaftlich fundierter Projekte.",842,Q,T,T|N|S,0.5249,0.0146,low_margin|crowded_top3|outside_top3,,
281,Kestermann und Werner GmbH,"der Betrieb von Callcentern und der Vertrieb von SKL, NKL, Lotto und Toto.",74,N,J,J|H|N,0.3749,0.0629,recoverable_in_top3,,
282,Wunderkopf Technologies GmbH,"Die Entwicklung und der Vertrieb von Hard-, Software- und Kommunikationsdienstleistungen sowie die Ausführung von EDV- Dienstleistungen. Die Gesellschaft ist berechtigt, sich an Gesellschaften ähnlicher Art zu beteiligen oder gleichartige Unternehmen zu erwerben. Sie darf Zweigniederlassungen errichten. Darüber hinaus ist die Gesellschaft befugt, auch weitere Tätigkeiten zu übernehmen, die geeignet sind, den Gesellschaftszweck unmittelbar oder mittelbar zu fördern.",469,J,N,N|J|O,0.5780,0.0237,recoverable_in_top3,,
283,MediSalesPlus GmbH,"Der Gegenstand des Unternehmens ist die auftragsgemäße Bereitstellung von freiberuflichen Außendienstmitarbeitern, insbesondere Pharmareferenten und medizinischem Pflegepersonal, einerseits zum Vertrieb von elektrischen Abrechnungs- und Kartenterminals, Nahrungsergänzungsmitteln, medizinischen Lifestyle-Produkten, verschreibungsfreien Arzneimitteln, Impfstoffen und Dermo- Kosmetika an sämtliche medizinischen Heilberufe, wie Ärzte, Zahnärzte, Veterinäre und Heilpraktiker sowie an Krankenhäuser und Kliniken und andererseits zur Erbringung von Pflegedienstleistungen.",570,N,Q,Q|M|N,0.5859,0.0048,low_margin|crowded_top3|recoverable_in_top3,,
284,Eurosonne GmbH,Die Durchführung von Estrich-Arbeiten.,38,F,N,N|T|Q,0.4468,0.0437,short_text|outside_top3,,
285,A & M Zweibäumer Lohnconsulting GmbH,"Buchführungsservice gem. § 6 Nr. 3 und 4 StberG erlaubte Tätigkeiten, hier insbesondere: laufende Lohnabrechnung, Fertigen der Lohnsteuer-Anmeldungen, betriebswirtschaftliche Beratung.",184,M,N,N|S|M,0.5512,0.0887,recoverable_in_top3,,
286,COMNITAS Pflegedienst GmbH,"die Pflege und hauswirtschaftliche Versorgung von Pflegebedürftigen in ihrer Wohnung entsprechend der jeweils geltenden Fassung des § 71 SGB XI sowie die Gewährung von Haushaltshilfen und häuslicher Krankenpflege entsprechend der jeweils gültigen Fassung der §§ 132, 132 a SGB V.",279,Q,T,T|Q|S,0.5463,0.0632,recoverable_in_top3,,
287,Alten- und Pflegeheim Rosenhöhe GmbH,"Die Vermietung von Wohnungen sowie der Betrieb eines Alten- und Pflegeheimes mit vollstationärer Pflege, Kurzzeitpflege und Urlaubsbetreuung.",141,Q,T,T|Q|I,0.6720,0.1052,recoverable_in_top3,,
288,EE Immobilien I GmbH,"Verwaltung von eigenem Grundbesitz und Kapitalvermögen sowie sonstige Tätigkeiten, die die vorgenannten Tätigkeiten fördern.",124,L,K,K|M|T,0.6068,0.0473,outside_top3,,
289,Heinrich Bruss Gesellschaft mit beschränkter Haftung,"Vermögens- und Hausverwaltung sowie Handel mit Papier und Verpackungsmaterial aller Art. Die Gesellschaft ist zu allen Geschäften und Maßnahmen berechtigt, die zur Erreichung des Gesellschaftszweckes notwendig oder nützlich erscheinen, auch zur Beteiligung an anderen Unternehmen oder zum Erwerb anderer Unternehmen.",316,L,C,C|M|S,0.5614,0.0063,low_margin|boilerplate_shape|outside_top3,,
290,Zweckverband Thermalbad Birnbach,Betrieb eines Kurmittelhauses,29,Q,L,L|F|T,0.5254,0.0304,short_text|outside_top3,,
292,DS Flugzeug Management GmbH,die Beteiligung als Komplementärin oder geschäftsführende Kommanditistin an von der Dr. Peters-Gruppe in Dortmund initiierten Flugzeugfonds,139,M,U,U|M|O,0.4232,0.1533,boilerplate_shape|recoverable_in_top3,,
294,Reflex Winkelmann Beteiligungs-GmbH,"Gegenstand des Unternehmens ist die Beteiligung an anderen Unternehmen im Inund Ausland, u.a. die Beteiligung an der Gesellschaft mit beschränkter Haftung unter der Firma Reflex Winkelmann GmbH mit dem Sitz in Ahlen/Westfalen.",226,K,U,U|M|K,0.3603,0.0035,low_margin|boilerplate_shape|recoverable_in_top3,,
296,IVAN Sports Europe GmbH,"Die Betreuung von Berufsfußballspielern, insbesondere koreanischer Nationalität, sowie die Vertretung der IVAN Sports Corp. in Europa.",134,R,M,M|R|Q,0.3369,0.0301,recoverable_in_top3,,
297,H + S Beteiligungs GmbH,Das Halten einer Beteiligung an der noch zu gründenden Firma H + S Massivbau GmbH & Co. KG.,91,K,L,L|M|U,0.2266,0.0008,low_margin|crowded_top3|boilerplate_shape|outside_top3,,
298,Nordsee Inkasso GmbH,Betreiben des Inkasso- und Forderungsmanagementgeschäfts. Hierzu zählen insbesondere die außergerichtliche und gerichtliche Einziehung von titulierten oder nicht titulierten fremden Forderungen im fremden Namen.,211,N,O,O|M|U,0.5159,0.0135,low_margin|outside_top3,,
